equation1,equation2
-2.259668802,21.33446462
0.151173976,18.63408082
-4.119093136,21.14505202
-0.786265841,18.13216109
2.038031887,16.70188466
-2.518359826,21.41394133
-1.428944213,19.79682112
-1.76134446,16.71887088
5.493370818,18.81325673
-0.687069861,17.58569307
-2.747476558,17.04524386
0.662060752,20.4124117
3.94054752,19.79453075
2.288045142,16.91629263
0.431880191,20.00921451
-0.732592525,22.43579323
0.147182119,20.14410805
-2.080176168,24.09924558
-2.342677698,18.01044771
0.820801044,20.28726148
1.188507901,22.68568198
2.03934255,15.51860109
-1.284048944,23.11360629
-0.505809707,16.24883292
1.518722616,26.98990121
2.33476374,20.38307314
-0.713712181,18.26438697
0.976040656,19.09988547
7.601221288,20.77301858
-0.720553324,17.35396352
4.367808335,21.93679514
1.898038284,20.30042116
2.641799843,19.76141151
-6.587469426,17.1115739
-0.191786615,17.04710535
-6.263491759,20.3285157
1.011274718,26.67326813
-4.06917548,17.37516846
-4.174700933,16.27164473
1.494355105,18.6028705
3.113687971,17.67322889
-3.437231161,16.93734718
0.345748836,12.52895651
-0.895307644,19.42465454
2.567487943,14.35900203
5.479936355,14.45973844
1.787947599,23.92601231
0.238764003,18.78381061
3.347746135,13.84198932
3.043176969,16.16302477
1.365455566,21.46441163
5.021568776,17.22914584
2.22829866,10.03132602
-0.847976894,21.79902452
-0.259548328,21.7029928
-1.616137979,21.60571378
-2.058744719,24.48077725
-0.394499569,17.51473557
-1.878711032,19.3515676
1.244122977,19.38921613
3.987669047,19.32099495
-1.627923793,15.30630184
3.04704242,19.13554275
6.572718306,17.41266603
1.650459091,23.97808519
-4.956690836,15.78050501
-0.216448533,16.23591875
2.216457227,18.03122442
-3.62954686,17.70267952
-1.208404357,20.4124971
0.509068483,13.82275193
4.929318713,24.51771042
-4.7495564,17.20768787
-2.948133059,15.29858181
3.451896428,19.60926888
-0.672599202,18.70094765
-3.67635207,19.86438907
3.898606337,22.04976234
2.502863657,15.81900695
4.770630152,16.01687817
1.535473549,24.23131627
-0.615123601,21.75849542
-1.38335089,18.96615517
2.217970902,18.54205588
-2.978498639,20.81776708
-0.867930437,21.02812294
2.776376784,19.22768861
-1.282580063,16.90879437
3.628203025,18.62165841
4.068092885,16.58461439
-5.486396286,15.10865437
-0.88580094,18.45735463
-5.643312364,24.66772954
-2.45902122,16.2227938
-1.747497304,20.353018
0.820929189,14.29530805
2.434081129,17.33491071
0.29779347,17.46987977
-0.113461546,19.3605644
